Quel est l'impact de la guerre cognitive sur la 'personnalité cognitive' à long terme ?,Elle modifie durablement la manière dont un individu traite l'information.
Pourquoi les électeurs émotionnellement instables sont-ils plus vulnérables aux algorithmes ?,Ils sont plus réceptifs aux contenus surprenants et négatifs qui les poussent vers les extrêmes.
Le terme 'Neuro-guerre' est souvent associé à quelle génération de conflits ?,La sixième génération.
Quel organe de l'OTAN est spécifiquement chargé du concept de 'Warfighting Capstone Concept' ?,Le NATO Allied Command Transformation (ACT).
Quelle est l'étape finale du modèle de manipulation chinois ?,La supervision de la gratification (renforcement de l'enfermement cognitif).
Définition : Guerre Cognitive (selon le groupe Gecko),Domaine cherchant à corrompre ou annihiler les mécanismes de pensée et de décision par une approche scientifique.
"Dans la dynamique des réseaux, qu'est-ce que l'homophilie ?",La tendance des individus à se connecter à ceux qui partagent leurs croyances.
Quel outil mathématique permet de prédire si une rumeur va saturer une population ?,Le nombre de reproduction de base $R_0$.
Pourquoi le micro-ciblage psychographique est-il considéré comme le 'carburant' de la guerre algorithmique ?,Il permet de générer des messages exploitant les biais et peurs spécifiques d'un individu.
Quelle est la conséquence stratégique de la 'Weaponization of Identity' ?,L'érosion de l'unité nationale et l'exploitation des clivages identitaires.
Que signifie l'attribut 'Technology' dans la définition de la guerre cognitive ?,"L'usage de moyens technologiques (IA, Big Data) pour amplifier les effets des attaques cognitives."
Quel type de résilience est défini comme 'l'adaptabilité soutenue' ?,La capacité à ajuster continuellement ses défenses à travers plusieurs cycles de stress.
"Dans le cas de la LRA, quel mécanisme international a été mis en place pour surveiller les violations ?",Le mécanisme de surveillance et de communication de l'information (MRM) de l'ONU.
Quel est le risque systémique associé à une attaque réussie sur la 'confiance' publique ?,Une crise de liquidité ou un effondrement des services essentiels par effet domino.
"Dans le modèle SIR, que représente le paramètre $\mu$ ?",Le taux de sortie naturelle (ou perte d'intérêt) de la population.
Pourquoi est-il difficile de définir juridiquement un 'acte de guerre' cognitive ?,Parce qu'il s'agit de manipulations psychologiques se situant sous le seuil cinétique (zone grise).
Quelle est l'implication stratégique de la 'souveraineté' dans le domaine neuro-cognitif ?,La défense de l'État ne se fait plus aux frontières physiques mais dans l'esprit des citoyens.
Le but de la 'Weaponization of Narratives' est d'altérer la perception de la _____ historique.,mémoire
Quel est le rôle des 'Usines à trolls' dans la doctrine russe ?,Diffuser massivement des narratifs subversifs pour créer une paralysie politique chez l'adversaire.
"En environnement 'Ordonné', quel est le mécanisme décisionnel approprié ?",Percevoir - Catégoriser - Répondre.
Comment la guerre cognitive impacte-t-elle l'étape d'Orientation de la boucle OODA ?,En biaisant la compréhension de la situation par des perceptions déformées.
Qu'est-ce qu'un 'cocon sémantique' ?,Un environnement informationnel fermé où l'individu n'est exposé qu'à des idées confirmant ses préjugés.
Quelle caractéristique de la société ouverte est considérée comme son 'talon d'Achille' par le stratège du chaos ?,La transparence et la liberté d'expression.
"Dans le modèle de risque systémique, quelle étape suit le 'Choc' initial ?",L'Amplification (propagation rapide et perte de confiance).
Quel est le but de la 'Supervision de la gratification' dans la manipulation IA ?,"Utiliser les signaux sociaux (likes, partages) pour valider et renforcer le nouveau cadre de pensée."
Quel est le principal défi de la régulation des plateformes numériques face à la désinformation ?,Éviter de dériver vers une censure qui reproduirait les tactiques autoritaires.
L'incertitude induite par le stress cognitif pousse l'individu vers des réactions _____ plutôt que rationnelles.,émotionnelles
"Dans le modèle SIR, que se passe-t-il si $R_0 < 1$ ?",La propagation de la rumeur s'éteint naturellement.
Concept : Reflexive Control,Stratégie russe visant à influencer les perceptions de l'adversaire pour qu'il agisse volontairement contre ses propres intérêts.
Quel est le lien entre populisme et guerre cognitive selon le texte de l'OTAN ?,Le populisme peut être à la fois un symptôme de mécontentement et un résultat de succès d'attaques cognitives ennemies.
Pourquoi la 'littératie informationnelle' est-elle un facteur de protection ?,Elle permet aux citoyens d'identifier les manipulations et l'inauthenticité des sources.
"Dans la gestion de crise de la LRA, quelle action a été menée par les chefs religieux ?",La négociation pour la libération des enfants de moins de 16 ans.
Quel est l'objectif des 'simulations cognitives' pour les décideurs ?,Les former à reconnaître les opérations d'influence et à réguler leurs émotions sous stress.
Comment l'IA générative est-elle utilisée dans l'étape 'Attraction de l'attention' ?,Pour créer des deepfakes ou articles qui déstabilisent le cadre cognitif existant de la cible.
Quel paramètre de l'équation de Lorenz représente la variation de la stabilité vers le chaos ?,"Une variation infinitésimale de $\sigma$, $\rho$ ou $\beta$."
La 'Mission-Relevant Terrain in Cyberspace' inclut des infrastructures qui peuvent être _____.,hors de contrôle gouvernemental (privées)
Quel type de préjudice Miller associe-t-il spécifiquement aux institutions ?,L'érosion de la légitimité et de la confiance institutionnelle.
Terme : Cognitive Superiority,Impératif de l'OTAN visant à out-think l'adversaire en maîtrisant mieux l'environnement décisionnel.
